Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.81,0.90,0.81,0.74,0.68,0.62,0.60,0.59,0.57,0.55,0.54
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,3,3,2,2,1,0.52,0.46,0.40,0.34,0.29,0.24
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.81,2.83,1.93,0.57,0.09,0.11,0.08,0.04,0.04,0.03,0.04
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,INDO,Emissions|CH4|Waste,Mt CH4/yr,1.91,2.06,2.26,1.96,2.01,2.03,1.99,1.91,1.80,1.67,1.54
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4,Mt CH4/yr,2,2,2,1,1,1,1,1,1,1,0
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.37,0.35,0.26,0.20,0.14,0.13,0.11,0.10,0.10,0.07,0.05
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Energy Supply,Mt CH4/yr,0.32,0.31,0.22,0.16,0.12,0.11,0.09,0.09,0.09,0.06,0.04
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use,Mt CH4/yr,1.35,1.34,1.21,0.92,0.71,0.55,0.50,0.45,0.40,0.34,0.30
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.34,1.33,1.20,0.92,0.70,0.55,0.49,0.44,0.39,0.34,0.29
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.18,0.18,0.16,0.12,0.10,0.08,0.07,0.06,0.06,0.05,0.04
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.41,0.41,0.35,0.31,0.27,0.23,0.21,0.19,0.17,0.15,0.13
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.75,0.75,0.69,0.49,0.34,0.24,0.22,0.19,0.17,0.14,0.11
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,JAP,Emissions|CH4|Waste,Mt CH4/yr,0.26,0.26,0.24,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4,Mt CH4/yr,1.88,1.94,1.77,1.37,1.04,0.85,0.75,0.67,0.62,0.55,0.49
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0,0,0,0,0.09,0.09,0.07,0.07,0.06,0.05,0.05
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.59,0.62,0.53,0.40,0.25,0.18,0.13,0.12,0.11,0.09,0.08
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Energy Supply,Mt CH4/yr,0.44,0.47,0.40,0.28,0.14,0.09,0.05,0.04,0.05,0.04,0.02
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Land Use,Mt CH4/yr,0.75,0.77,0.70,0.55,0.39,0.29,0.27,0.25,0.23,0.22,0.20
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,0.75,0.76,0.70,0.55,0.39,0.29,0.27,0.25,0.23,0.21,0.20
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.25,0.26,0.23,0.21,0.19,0.17,0.17,0.16,0.15,0.15,0.14
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.46,0,0,0.31,0.18,0.10,0.09,0.07,0.06,0.05,0.04
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,KOR,Emissions|CH4|Waste,Mt CH4/yr,0.54,0.55,0.53,0.41,0.39,0.37,0.34,0.30,0.27,0.24,0.21
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4,Mt CH4/yr,12,15,13,9,7,8,8,8,7,6,6
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.05,0.03,0.04,0.04,0.05,0.07,0.06,0.05,0.04,0.03,0.03
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.04,0.04,0.05,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.04,0.04,0.05,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,9.17,11.06,8.68,5.14,3.16,3.17,3.01,2.72,2.03,1.13,0.65
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Energy Supply,Mt CH4/yr,9.07,10.97,8.58,5.05,3.07,3.06,2.93,2.66,1.97,1.08,0.60
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Land Use,Mt CH4/yr,1.72,1.91,2.22,2.50,2.70,2.80,2.99,3.16,3.31,3.44,3.56
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.69,1.89,2.20,2.48,2.67,2.77,2.96,3.13,3.28,3.41,3.53
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.06,0,0,0.10,0.11,0.12,0.12,0.13,0.14,0.14,0.15
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.47,1.66,1.97,2.27,2.47,2.58,2.77,2.95,3.10,3.24,3.36
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.16,0.15,0.14,0.10,0.09,0.07,0.06,0.05,0.04,0.03,0.03
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,ME,Emissions|CH4|Waste,Mt CH4/yr,1.50,1.69,1.86,1.57,1.58,1.69,1.73,1.74,1.77,1.77,1.75
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4,Mt CH4/yr,6.16,6.26,5.22,4.14,3.75,3.53,3.22,3.15,3.10,3.01,2.92
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.09,0.08,0.07,0.07,0.08,0.08,0.06,0.06,0.05,0.05,0.04
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,1.94,2.11,1.38,0.71,0.46,0.38,0.26,0.21,0.20,0.16,0.13
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Energy Supply,Mt CH4/yr,1.84,2.02,1.29,0.63,0.37,0.29,0.19,0.15,0.14,0.11,0.09
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Land Use,Mt CH4/yr,3.31,3.16,2.86,2.71,2.65,2.52,2.34,2.32,2.30,2.25,2.21
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,2.55,2.60,2.47,2.36,2.23,2.08,2.06,2.04,2.01,1.98,1.95
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.24,0.24,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,2.30,2.35,2.21,2.12,1.99,1.85,1.83,1.81,1.79,1.76,1.73
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.47,0.27,0.08,0.04,0.13,0.17,0.02,0.03,0.03,0.04,0.04
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.26,0.26,0.27,0.27,0.25,0.22,0.21,0.21,0.21,0.20,0.18
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,MEX,Emissions|CH4|Waste,Mt CH4/yr,1,1,1,1,1,1,1,1,1,1,1
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4,Mt CH4/yr,6,6,5,4,3,3,3,3,3,3,3
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.12,0.09,0.07,0.06,0.09,0.09,0.07,0.06,0.06,0.05,0.05
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,3.39,3.63,3.06,1.82,0.85,0.59,0.42,0.31,0.26,0.19,0.13
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Energy Supply,Mt CH4/yr,3.26,3.53,2.97,1.74,0.75,0.49,0.34,0.25,0.20,0.13,0.08
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Land Use,Mt CH4/yr,1.25,1.35,1.36,1.37,1.35,1.31,1.37,1.42,1.47,1.50,1.54
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.24,1.34,1.35,1.36,1.34,1.30,1.36,1.42,1.46,1.50,1.53
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.04,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,1.10,1.21,1.22,1.26,1.25,1.23,1.29,1.34,1.39,1.43,1.47
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.10,0.10,0.09,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,NAF,Emissions|CH4|Waste,Mt CH4/yr,0.93,1.01,1.06,0.90,0.91,0.94,0.94,0.92,0.88,0.85,0.83
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4,Mt CH4/yr,7.37,7.63,7.13,5.89,5.53,5.28,4.52,4.50,4.49,4.40,4.26
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.05,0.05,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,1.64,1.65,1.33,0.55,0.31,0.22,0.18,0.23,0.26,0.27,0.24
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Energy Supply,Mt CH4/yr,1.57,1.59,1.29,0.53,0.29,0.21,0.17,0.21,0.25,0.26,0.24
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Land Use,Mt CH4/yr,5.13,5.32,5.19,5.00,5.06,4.88,4.15,4.07,4.02,3.92,3.81
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.05
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,4,5,4,4,4,4,4,4,4,4,3
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.33,0.35,0.35,0.29,0.27,0.25,0.25,0.24,0.24,0.23,0.22
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,3.96,4.14,3.98,3.96,3.75,3.51,3.47,3.42,3.37,3.31,3.25
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.03,0.02,0.08,0.01,0.47,0.68,0.07,0.02,0.01,0.03,0.01
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.76,0.75,0.71,0.68,0.49,0.37,0.29,0.32,0.33,0.28,0.27
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,OCE,Emissions|CH4|Waste,Mt CH4/yr,1,1,1,0.33,0.16,0.18,0.19,0.20,0.21,0.21,0.21
IMAGE,SSP2-LF-SPA0-V17,RCAM,Emissions|CH4,Mt CH4/yr,2.88,3.39,3.09,2.59,2.35,2.19,1.99,1.93,1.87,1.80,1.71
IMAGE,SSP2-LF-SPA0-V17,RCAM,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,RCAM,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.16,0,0,0.16,0.16,0.12,0.10,0.09,0.08,0.07,0.06
IMAGE,SSP2-LF-SPA0-V17,RCAM,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,RCAM,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-LF-SPA0-V17,RCAM,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.60,0.74,0.77,0.60,0.40,0.33,0.19,0.16,0.15,0.12,0.10
IMAGE,SSP2-LF-SPA0-V17,RCAM,Emissions|CH4|Energy Supply,Mt CH4/yr,0.43,0.56,0.59,0.42,0.23,0.21,0.08,0.06,0.06,0.05,0.04
IMAGE,SSP2-LF-SPA0-V17,RCAM,Emissions|CH4|Land Use,Mt CH4/yr,1.60,1.93,1.53,1.35,1.29,1.19,1.13,1.11,1.09,1.07,1.03
